YEAR,QUARTER,MONTH,AIRLINE_ID,UNIQUE_CARRIER,CARRIER,CARRIER_NAME,CARRIER_GROUP_NEW,SALA_GALLONS,SDOMT_GALLONS,SATL_GALLONS,SPAC_GALLONS,SLAT_GALLONS,SINT_GALLONS,TS_GALLONS,NALA_GALLONS,NDOM_GALLONS,NDOMT_GALLONS,NATL_GALLONS,NPAC_GALLONS,NLAT_GALLONS,MAC_GALLONS,NINT_GALLONS,TN_GALLONS,TDOMT_GALLONS,TINT_GALLONS,TOTAL_GALLONS,SALA_COST,SDOM_COST,SDOMT_COST,SATL_COST,SPAC_COST,SLAT_COST,SINT_COST,TS_COST,NALA_COST,NDOM_COST,NDOMT_COST,NATL_COST,NPAC_COST,NLAT_COST,MAC_COST,NINT_COST,TN_COST,TDOMT_COST,TINT_COST,TOTAL_COST
2023,1,1,19393,WN,WN,Southwest Airlines Co.,3,0.00,157797920.00,0.00,0.00,2144619.00,2144619.00,159942539.00,0.00,5415.00,5415.00,0.00,0.00,0.00,0.00,0.00,5415.00,157803335.00,2144619.00,159947954.00,0.00,509617674.00,509617674.00,0.00,0.00,8342998.00,8342998.00,517960672.00,0.00,19711.00,19711.00,0.00,0.00,0.00,0.00,0.00,19711.00,509637385.00,8342998.00,517980383.00
2023,1,1,19687,QX,QX,Horizon Air,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2023,1,1,19690,HA,HA,Hawaiian Airlines Inc.,3,0.00,17207588.00,0.00,5199213.00,0.00,5199213.00,22406801.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17207588.00,5199213.00,22406801.00,0.00,54609332.00,54609332.00,0.00,15089388.00,0.00,15089388.00,69698720.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54609332.00,15089388.00,69698720.00
2023,1,1,19790,DL,DL,Delta Air Lines Inc.,3,0.00,171397335.00,50989442.00,15839809.00,27789188.00,94618439.00,266015774.00,0.00,1829980.00,1829980.00,53420.00,94551.00,31550.00,0.00,179521.00,2009501.00,173227315.00,94797960.00,268025275.00,0.00,532933647.00,532933647.00,158543825.00,49251451.00,86406205.00,294201481.00,827135128.00,0.00,5690041.00,5690041.00,166102.00,293990.00,98101.00,0.00,558193.00,6248234.00,538623688.00,294759674.00,833383362.00
2023,1,1,19805,AA,AA,American Airlines Inc.,3,0.00,171884579.00,41235252.00,7691051.00,47318718.00,96245021.00,268129600.00,0.00,274043.00,274043.00,68138.00,0.00,112508.00,0.00,180646.00,454689.00,172158622.00,96425667.00,268584289.00,0.00,561683904.00,561683904.00,128347376.00,23068278.00,159299458.00,310715112.00,872399016.00,0.00,881531.00,881531.00,204326.00,0.00,380109.00,0.00,584435.00,1465966.00,562565435.00,311299547.00,873864982.00
2023,1,1,19874,8C,8C,Air Transport International,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,116133.00,116133.00,50886.00,0.00,0.00,775304.00,826190.00,942323.00,116133.00,826190.00,942323.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,523207.00,523207.00,214012.00,0.00,0.00,3425276.00,3639288.00,4162495.00,523207.00,3639288.00,4162495.00
2023,1,1,19917,5X,5X,United Parcel Service,3,0.00,44180000.00,14836000.00,18374000.00,2849000.00,36059000.00,80239000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44180000.00,36059000.00,80239000.00,0.00,149573000.00,149573000.00,45646000.00,52514000.00,9429000.00,107589000.00,257162000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,149573000.00,107589000.00,257162000.00
2023,1,1,19930,AS,AS,Alaska Airlines Inc.,3,1408846.00,54546707.00,0.00,0.00,1426403.00,1426403.00,55973110.00,86034.00,53704.00,139738.00,0.00,0.00,0.00,0.00,0.00,139738.00,54686445.00,1426403.00,56112848.00,4181943.00,188332231.00,192514174.00,0.00,0.00,5671236.00,5671236.00,198185410.00,255379.00,175972.00,431351.00,0.00,0.00,0.00,0.00,0.00,431351.00,192945525.00,5671236.00,198616761.00
2023,1,1,19977,UA,UA,United Air Lines Inc.,3,0.00,150573599.00,62529597.00,35184204.00,31437525.00,129151326.00,279724925.00,0.00,979017.00,979017.00,5192.00,152275.00,32826.00,23076.00,213369.00,1192386.00,151552616.00,129364695.00,280917311.00,0.00,510709585.00,510709585.00,197356978.00,107396691.00,111234172.00,415987841.00,926697426.00,0.00,3309314.00,3309314.00,15795.00,457432.00,111842.00,67356.00,652425.00,3961739.00,514018899.00,416640266.00,930659165.00
2023,1,1,20007,5Y,5Y,Atlas Air Inc.,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13658472.00,13658472.00,6692354.00,21613512.00,7197843.00,5129441.00,40633150.00,54291622.00,13658472.00,40633150.00,54291622.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42887858.00,42887858.00,23065910.00,60181224.00,21839157.00,21492358.00,126578649.00,169466507.00,42887858.00,126578649.00,169466507.00
